otu,Domain,Phylum,Class,Order,Family,Genus,Species
7a0fcce86bb37e2edbba5ad8ba621004,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
48fb88caf2671016c7c9f0bfca30b52e,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Rhodoplanes,NA
9d127ac8ec1a7b03befe92229847b811,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
df71de0e92459aa808364311135bb8fc,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
826b168183ce12346aeeaa9709084e2a,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
5e5613e63b0dd855c4d9fa415c2abb7b,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,Incertae_Sedis,NA
ba774432cea724a9df46d7aad4fbc4bd,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
bf321c05d79f766c0099afb9ecc42f52,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
3a349e059ec56fc025ea59f4ae4993db,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodomicrobiaceae,Rhodomicrobium,NA
6b9753766d1381bc5574a21558e1b741,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,NA,NA
d11f8e0a13e45c2100b0302f02bb90c1,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
c6e9c9fe9159441c4ffe44947875236a,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
c6f96c0b79d9a6b82fb53a5518bce977,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Incertae_Sedis,NA
4608fae4bbc9964cdd17af8782f2155e,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
eb28b1a40981d38e6a0aab251174dae1,Bacteria,Actinomycetota,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,NA
2e4a2e5ad75f2d321aadefddacb2fca7,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA
73192ae1219ef236050b7e2270481348,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
421f5b3c6e63240e6409da5a675a9ca4,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
a9164d01308501b576afa06256a15b0f,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,NA
44e2ab81e5e7cff6d965651c707b9479,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA
c722a811911383bb2413ad9234fbd57f,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
3fc9b5b3464fa5af8becd74925329a9d,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
ad5904f852ce73680c278e1d68e64a91,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
8c4870dd63eed73310273309f400cf04,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA
344dafe7bf37ec053b3ef832bedcafb8,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,NA
151f25319c8715bb49632a77fb021ad5,Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
6afa5a7346c82bbb1ba23d7a308e76d9,Bacteria,Pseudomonadota,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,NA
7079b59e20d67bc39da20352cf595c53,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Bradyrhizobium,NA
cb5ca9ea57b4297619b4459a0347252f,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA
4ad850902c9101b6a6024b081f1ab9d0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
bdc6b2e04197cd0807b9642cb29259df,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Incertae_Sedis,NA
4c87523f07695269d1e32dc3c5acbdd5,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
3e0452548704c537bf978aff7f0d9f3f,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
463fd7d87b0ddd0b6baf70ce9e582601,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
655c4e26812b8a7e6fdf8d39bacae072,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
7ff346973a282aa55de296afdb5d74af,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA
1c2b8892a0d7f828d72808cd01cfd199,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,NA,NA
c4def24d4e9cea12f3f0a8a0ca43afda,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
a669eb6ad9a74b0022af57efee724096,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
4142bbf6a4718d09c5030699a950a6b3,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,NA
1644bac83434fbff42aee3b9328d91b0,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,NA
8f095d3ea9df8f6449dc69315c77b191,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA
7876a5906e5be58d068237cd0b6ebb3c,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA
1b9123f5b28e795eec7c9fac313296a8,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,Incertae_Sedis,NA
a6c9d9e2159c39bcae3c6fa95fca503f,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA
da7db12d1bb1d7ea577c1637a9b18aeb,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,NA
e725350c3a8b1f7f9d801e420116d9de,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
a52970705dfd5642085748f4646b3b18,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,Incertae_Sedis,NA
1d145835e7f0188562322f4eefb02657,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Incertae_Sedis,NA
42fdc61a68bd906e4773f6a6b47d0761,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Incertae_Sedis,NA
2d51eee954d47bb2f71665bd2691bb94,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA
8f83b75bc2f3107388acd9923ea7a447,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,NA
209d2a7b32e4fd9500896c1910760c01,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Paludibaculum,NA
dab1160ee7a4ecf9945086ff09f99528,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
96a6f4a2c6624b8ff4c2fc8504e3f0da,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
69c6fa5855d7097394070ca77ac1903f,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
6516a4ea1d11a19c127d7051f40d2120,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Piscinibacter,NA
b05f049660c92be68af1970c8b478d39,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
26005dfb7ad2e8cdbb139846af329663,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia,NA
040bd74a5c9b1a37501cd9fc4c554326,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Incertae_Sedis,NA
cd74dff9536eba82bac8c6d71a8eea45,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
2141c7953f25a1c4be8b0a47a28a157f,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Incertae_Sedis,Incertae_Sedis,NA
e8accbbab64dba2fe98edb7072796cc5,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA
fae3f41333c704d21b739cd544e5b1de,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
8db5b5778909f8dd838ce8a2e8c66b90,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
3da13822a4e59d2d70a6ec427c82e650,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
35ed22e9fa79ab018326b68bd06b3bb0,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Aetherobacter,NA
1e181baaea6ea44783270cf5e6116420,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
c130baecd35f08a8f79bdfbdc0abb6c0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
25cb02fb17426d878afd69a79572b858,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,NA
1dc3a7cd36625f81a603740de6b3160b,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
ae2f8b98c96ef914f7794f931eb1f292,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Incertae_Sedis,Incertae_Sedis,NA
f45e03d2140fd362bf4193a298227340,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,Incertae_Sedis,NA
d95c9b9d40850582e8fa353fcade987b,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
0bc806606b7ed9aa81a7a6aa0bf8d539,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
94b2b5966d9e160713ab248417dc4203,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
868abaf9f509a15fca655dfcfec4d39c,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA
79029fa983ec4eda60117a273a52cfc0,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
daae3699c460e7d41ec585f2d1241c4f,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,NA,NA,NA
e16d86b7fe770de88e7e8fd0fb6c8b5a,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA,NA
7c2a635523eb546eae72c33b3128fe15,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
40a8741f4cfea3f32f265c0e03da193d,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
8391a7518076ebc1ec4157e79f562751,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
c6070ebec75403b7109acdd133509f4c,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
cc4fa9a30fb72ffe2170c798191b1aba,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
174463817fead6ebb3447af653e7ea19,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA
5d55a1e7677ce1d04a34cfccafdc0e17,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,NA
cb5b9907447a49154182dee3ea78d16e,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA
5b2529faa44a3679b887ecd91b6b4149,Bacteria,Chloroflexota,KD4-96,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,NA
9b53067e23a3f7417c2354a1e00a7b95,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
fcacc1a798bb0322e8cd110c6d8d1011,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Incertae_Sedis,NA
b32c31cdf2e8499f2dcf74dc1dca50df,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,Incertae_Sedis,NA
c9de210c5a513e7749d7e67ce403d19a,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
167177802ba8c61c6caaaf29113a0ff0,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dokdonella,NA
29115e7bd8ef43044853d0193cf6f622,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
8f90932836eec8eb89164f265ebd63f5,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Pseudaminobacter,NA
087121b129095544cd8bc2b481d62dd8,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,NA
54ab6051e37564b1d0a71648f0872084,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
b4f4a1c0296c669c6e81b308f9901ff3,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
dedf0cd91fb40ffb7812c8dd8abf99d9,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA
0d138e67255f9a210aba4726f16f3d55,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
57c4f3ede08667957471c9e2025b31ae,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Incertae_Sedis,Incertae_Sedis,NA
07da22cab5c55a4badb462bcbbded642,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Phyllobacterium,NA
09f944acc15518b31e5803e1e4cb4e43,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
8687cc49cdac1adda44effe1e7a18e13,Bacteria,Actinomycetota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,NA
6de8fff163b98c8aa71aeec462c52f49,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
c6617d15e9d83c48dbd4465660441ea6,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
feaa83d219900e36d9ffa9f895c026ce,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,Incertae_Sedis,NA
c71ca501dbdb10eeb44907d9e446043f,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Labraceae,Labrys,NA
c60ab36becef7ec2bd978f98eab51e78,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
565c3b2224a1d1cc05c14aa8896ff6ff,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,Incertae_Sedis,NA
480f6b19df9ac96ae32751cef20e5a32,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,Incertae_Sedis,NA
a3fe6144bb655c43f48abfa8bc92709d,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Incertae_Sedis,NA
e8bd5a5228cd426c496dcd50f6dad542,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas,NA
4d5b8c2c09a9e464f466f3ddc5ab1de5,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales_Incertae_Sedis,Incertae_Sedis,NA
a1d639f56b5ce6e808026f62ee816c52,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
ca4283eb765c661054735b529ff8bda0,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
7404d2d31e220dc84bb19f441d24b7ce,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Incertae_Sedis,NA
11a23ce6617f870d80c040d8e1c0f970,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ef209399c1a90ce238dfda37b5fcfc3f,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,NA
594061ed4e2ea378773c474cd4803c29,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,NA
769ca485581fc30bb49312d1b42f0ef6,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
bad135fbf0258fddb72f9528a47d35df,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,NA
35d20da789dde8d76e4389fd6d30cc9d,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,NA
68fd564c869e4e678284955a49252729,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
e7042f5ab73df71ce0746260c0aa4c96,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
e1a7d62b477402f1b3acd7211713c2ab,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Incertae_Sedis,NA
c39e15de7f8295ecfed0969cd53b2126,Bacteria,Chloroflexota,KD4-96,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,NA
1c0a3725f25027e98ff6aea763fbb4d2,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
b8c4ed03d7d91546b9f6ad80b80135a3,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,NA
fe893436461f6fb0d126fd02178ccdee,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,SC-I-84,Incertae_Sedis,NA
afab652223907a261807ec755bf2d0c5,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
3d23c97e395185efe9ae1366d4a2aebe,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
7dd6bcd8968a583ae728f34c989d076c,Bacteria,Chloroflexota,KD4-96,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,NA
e08e23d2a89132c6e4adadb351a1e783,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA
f36c50279a8fa1c121cb9dda1ab1cb42,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
2e9d0c9c74649fd29ff7bda3beb21124,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
3c521b2ec219ad8a7ca0d50ba8fc66fc,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,Incertae_Sedis,NA
30891f4f2fa6d31c29b1c2d29eb2951f,Bacteria,Myxococcota,Polyangiia,Polyangiales,BIrii41,Incertae_Sedis,NA
96dccb53652b1339d3b3642a5876d8f1,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Incertae_Sedis,NA
702af9e944edfd5a1a7f0dce0d566376,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
0b36c352632cb1346cdc7d73f9fb376c,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
7ef6a6f0dfd650a93138c85eebf1b5c0,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA
9d961fd270b12b309fb6383e02705135,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,NA
d0e9917df38a6c5fab300b637a44179e,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,NA
dd8229814f2d127e61ac92c5d275db8b,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
1d2a33b40acf001bb98667cf41fbd74e,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
2bc8de31c3b4308a2879365d9e3ef234,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,NA,NA
0afd23dcd2140d0ddb529e359c20c5c0,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,NA,NA
b0546a8c6a38415c52d2dc916319d3fd,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA
e294a162ada64ab680ba9fbc93637e07,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,NA
627a99dd1114c5212eb902a0d47d6f37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
46aa59d2fea17399e0866bfd1e03756d,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,NA
98de80b764792b08fb421f48443273c2,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,Incertae_Sedis,NA
a834cea63ff560fae27ac1690069cb9e,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
80e3d3dd2f45032910955828a9d1b5ce,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,Incertae_Sedis,NA
371fc6aa2d26e6a714dee9741f014a64,Bacteria,Actinomycetota,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,NA
aed191bac0b1c3264208a084af848bed,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
cc60312357314937af544b9333c06feb,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
47a9d10e32ffbceb163e240b65825d7e,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
d6b84cba8aa0b3a17de44d9edab9e498,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
c965c1879ce21d38040fa64ccc9c2c6a,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
972b651b895d5a691d7b7a44b61d8163,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,NA
57372db13baf473f2c09e27dacff7dd0,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,Incertae_Sedis,NA
4f8024db35d41ab2263350fbabd2006a,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ce716581d0aa64bc18490bd317ee5a07,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter,NA
5f4f54dc30f997db085202f4a636a110,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseotalea,NA
608668c95e6ee5d8cd64bb3b146e32bb,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA
5b824059f35b2d1a22e2ce26ab79ede0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
8ac0749b68d35154fd6eb013fd72e052,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,NA
3379d8b13bf61a4859a1377e9c2c75c1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,NA
552413d35ab5aac8454e2021e65fd209,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodomicrobiaceae,Rhodomicrobium,NA
c35553bc42a0a8d572bf5e99d2af0b4d,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA
